CountyCode,CountyName,DistrictCode,DistrictName,White,Hispanic,BlackorAfricanAmerican,Asian,NativeHawaiianorPacificIslan,AmericanIndianorAlaskaNative,TwoorMoreRaces
01,ATLANTIC,0010,ABSECON CITY,57.4,15.3,16.4,4.8,0.2,0,5.9
01,ATLANTIC,0110,ATLANTIC CITY,4.9,42.7,33.7,16.5,0.8,0.2,1.2
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,32.4,37.3,22.3,4.5,0.6,0.3,2.6
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,35.9,29.1,24.8,6.8,1.1,0.3,2.0
01,ATLANTIC,0570,BRIGANTINE CITY,69.9,14.3,5.1,10.8,0,0,0
01,ATLANTIC,0590,BUENA REGIONAL,53.7,28.5,16.3,1.1,0,0,0.3
01,ATLANTIC,1300,EGG HARBOR CITY,25.0,39.7,27.6,1.5,0,0,6.2
01,ATLANTIC,1310,EGG HARBOR TWP,45.4,25.6,10.3,14.6,0.2,0.1,3.9
01,ATLANTIC,1410,ESTELL MANOR CITY,93.4,2.2,2.7,0,0.5,0,1.1
01,ATLANTIC,1540,FOLSOM BORO,88.1,5.3,2.5,0.8,0,0,3.3
01,ATLANTIC,1690,GALLOWAY TWP,42.4,22.9,17.6,10.6,0.1,0.1,6.3
01,ATLANTIC,1790,GREATER EGG HARBOR REG,47.6,20.8,20.3,9.0,0.2,0.1,2.1
01,ATLANTIC,1940,HAMILTON TWP,43.8,20.6,25.6,5.6,0,0.1,4.4
01,ATLANTIC,1960,HAMMONTON TOWN,66.8,27.9,3.3,0.6,0.0,0.1,1.4
01,ATLANTIC,2680,LINWOOD CITY,80.0,8.7,1.8,4.7,0,0,4.7
01,ATLANTIC,2910,MAINLAND REGIONAL,70.4,15.0,5.0,5.3,0.1,0,4.2
01,ATLANTIC,3020,MARGATE CITY,91.2,3.8,0.5,1.6,0.3,0.5,1.9
01,ATLANTIC,3480,MULLICA TWP,70.3,23.0,5.0,0.1,0,0,1.5
01,ATLANTIC,3720,NORTHFIELD CITY,76.8,13.7,1.7,6.0,0.1,0,1.8
01,ATLANTIC,4180,PLEASANTVILLE CITY,1.3,64.0,32.4,1.4,0.6,0.1,0.3
01,ATLANTIC,4240,PORT REPUBLIC CITY,95.7,0,2.6,1.7,0,0,0
01,ATLANTIC,4800,SOMERS POINT CITY,42.1,32.8,15.7,3.1,0.1,0.4,5.8
01,ATLANTIC,5350,VENTNOR CITY,38.1,43.0,3.2,12.0,0.1,0.1,3.4
01,ATLANTIC,5760,WEYMOUTH TWP,78.2,7.7,11.5,1.3,0,0,1.3
03,BERGEN,0040,ALLENDALE BORO,74.1,6.4,0.8,15.5,0.1,0.2,3.0
03,BERGEN,0080,ALPINE BORO,67.6,4.1,4.1,8.1,0,0,16.2
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,34.7,40.3,14.5,9.4,0.3,0,0.9
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,40.2,17.4,3.8,34.1,0.2,0.1,4.1
03,BERGEN,0300,BERGENFIELD BORO,11.9,51.1,7.5,26.7,0.6,0.2,2.1
03,BERGEN,0440,BOGOTA BORO,30.6,53.6,8.1,6.8,0.5,0,0.3
03,BERGEN,0740,CARLSTADT BORO,59.0,26.1,5.5,8.3,0.2,0,0.9
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,49.8,33.5,6.1,9.7,0.2,0,0.6
